,Mobile_names,Price,Ratings
79,"Infinix Zero 5G 2023 TURBO (Coral Orange, 256 GB)","₹17,999",4
80,"SAMSUNG Galaxy A14 5G (Dark Red, 64 GB)","₹15,999",4.1
81,"IQOO Z7S 5G (Pacific Night, 128 GB)","₹19,970",4.3
82,"OPPO Reno10 Pro+ 5G (Glossy Purple, 256 GB)","₹54,999",4.5
83,"OPPO Reno10 5G (Ice Blue, 256 GB)","₹32,999",4.2
84,"REDMI 12C (Lavender Purple, 6 GB)","₹9,989",3.6
85,"vivo Y16 (Steller Black, 64 GB)","₹15,999",4.3
86,"OPPO Reno10 Pro 5G (Glossy Purple, 256 GB)","₹39,999",4.3
87,"vivo T2 5G (Nitro Blaze, 128 GB)","₹18,999",4.4
88,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹15,999",4.2
89,"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹18,590",4.3
90,"realme Narzo 60 5G (Mars Orange, 256 GB)","₹19,768",4.3
91,"realme Narzo 60 5g (Cosmic Black, 256 GB)","₹19,826",4.3
92,"POCO F5 5G (Carbon Black, 256 GB)","₹30,999",4.3
93,"OPPO Find N2 Flip (Astral Black, 256 GB)","₹81,999",4.2
94,"vivo T1 44W (Starry Sky, 128 GB)","₹17,999",4.3
95,"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)","₹15,390",4.2
96,"Infinix Note 12 Pro 5G (Force Black, 128 GB)","₹18,999",4.1
97,"vivo Y56 5G (Orange Shimmer, 128 GB)","₹17,999",4.2
98,"OPPO F21 Pro (Sunset Orange, 128 GB)","₹15,499",4.3
99,"vivo Y16 (Drizzling Gold, 64 GB)","₹10,990",4.3
100,"REDMI Note 10S (Deep Sea Blue, 64 GB)","₹14,999",4.4
101,"OPPO F21s Pro (Dawnlight Gold, 128 GB)","₹21,999",4.2
102,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹19,999",4.1
103,"Infinix Note 12 Pro 5G (Snowfall, 128 GB)","₹18,999",4.1
104,"Mi 10i (Midnight Black, 128 GB)","₹19,870",4.3
105,"vivo Y16 (Drizzling Gold, 128 GB)","₹16,999",4.3
106,"Mi 10i (Atlantic Blue, 128 GB)","₹18,970",4.3
107,"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹19,999",4.1
108,"REDMI Note 11 (Horizon Blue, 128 GB)","₹12,900",4.2
109,"vivo Y36 (Vibrant Gold, 128 GB)","₹15,999",4.2
110,"vivo Y36 (Meteor Black, 128 GB)","₹15,999",4.2
111,"vivo Y16 (Steller Black, 128 GB)","₹16,999",4.3
112,"SAMSUNG GALAXY M13 (Midnight Blue, 128 GB)","₹11,866",4.2
113,"REDMI Note 11S (Horizon Blue, 128 GB)","₹15,980",4.1
114,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹17,919",4.2
115,"vivo Y35 (Agate Black, 128 GB)","₹16,999",4.4
116,"REDMI Note 11S (Polar White, 64 GB)","₹13,946",4.1
117,"IQOO Z7s 5G (Pacific Night, 128 GB)","₹18,990",4.3
118,"realme 9i 5G (Soulful Blue, 128 GB)","₹16,999",4.3
119,"IQOO Z6 Lite 5G (With Charger) (Mystic Night, 128 GB)","₹14,990",4.3
120,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","₹17,999",4.1
121,"REDMI Note 12 5G (Sunrise Gold, 128 GB)","₹16,999",3.9
122,"OPPO A96 (Starry Black, 128 GB)","₹15,990",4.3
123,"vivo Y35 (Dawn Gold, 128 GB)","₹16,188",4.4
124,"vivo Y22 (Starlit Blue, 64 GB)","₹13,999",4.3
125,"SAMSUNG GALAXY M13 5G (Aqua Green, 128 GB)","₹14,594",4.2
126,"REDMI Note 10S (Cosmic Purple, 128 GB)","₹16,268",4.4
127,"MOTOROLA g54 5G (Midnight Blue, 128 GB)","₹15,999",4.2
128,"IQOO Z6 Lite 5G (Stellar Green, 128 GB)","₹14,990",4.3
129,"vivo Y35 (Agate Black, 128 GB)","₹16,999",4.4
130,"REDMI Note 11 (Starburst White, 64 GB)","₹12,677",4.2
131,"OPPO F19s (Glowing Gold, 128 GB)","₹19,990",4.4
132,"IQOO Z6 Lite 5G (Mystic Night, 128 GB)","₹15,490",4.3
133,"OPPO A77s (Starry Black, 128 GB)","₹22,999",4.3
134,"vivo Y22 (Metaverse Green, 64 GB)","₹14,499",4.3
135,"vivo Y22 (Metaverse Green, 128 GB)","₹15,499",4.3
136,"POCO M4 Pro (Cool Blue, 128 GB)","₹16,499",4.3
137,"vivo Y22 (Starlit Blue, 128 GB)","₹15,499",4.3
138,"OPPO A57 (Glowing Green, 64 GB)","₹12,718",4.4
139,"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹14,690",4.2
140,"vivo Y36 (Vibrant Gold, 128 GB)","₹15,999",4.2
141,"SAMSUNG Galaxy A14 5G (Black, 64 GB)","₹15,999",4.1
142,"SAMSUNG GALAXY M13 5G (Aqua Green, 64 GB)","₹12,999",4.2
